English for ,Intermediate Learners 1
Sunday,"2017, April’s 30th"
,
week ,# first
lesson,"# 1, 2"
punch,"# to hit somebody/something with you fist (= closed hand )
– > She was going to punch it( the dog ) in the nose."
attend,"# [formal] to be present at an event
– > to attend wedding / funeral 
– > Then Nancy found another apartment, close to the school that her son was going to attend."
tongue,"# the soft part in the mouth that moves around.
– > It is very rude to stick your tongue out at people.
– > He had a “tongue” of hair on the top of his head."
crown,"# 1. { of king / queen } an object in the shape of a circle, usually made of gold and precious stone, that a king or queen wears on his or her head on official occasions
# ( of head ) 6. the top part of the head or a hat
– > His hair was thinning at the crown."
drain,"# the pipe that carries away dirty water or other liquid waste 
– > We had to call plumber to unlock the drain.
– > He spread the newspaper over the bathroom sink so that no hair went down the drain. 
# verb: to make something empty or day by removing all the liquid from it; to become empty or dry in this way
– > Drain and rinse the pasta."
clipper,"# a tool for cutting small pieces off things
– > a nail clipper 
– > He plugged in the clipper and started cutting his hair. "
,
lesson ,"# 3, 4"
